39,灘中学校,nadachu,私立,兵庫,http://www.nada.ac.jp/,http://www.sapia.jp/school_exam/search/pdf2024/nada.pdf
40,日本学園中学校,nihongaku,私立,東京,http://www.nihongakuen.ed.jp/,http://www.sapia.jp/school_exam/search/pdf2024/nihongakuen.pdf
41,日本大学豊山中学校,nihondaigaku,私立,東京,http://www.buzan.hs.nihon-u.ac.jp/,http://www.sapia.jp/school_exam/search/pdf2024/nihon_buzan.pdf
42,函館ラ・サール中学校,hakodate,私立,北海道,http://www.h-lasalle.ed.jp/,http://www.sapia.jp/school_exam/search/pdf2024/hakodate_lasalle.pdf
43,北嶺中学校,hokurei,私立,北海道,http://www.kibou.ac.jp/hokurei/,http://www.sapia.jp/school_exam/search/pdf2024/hokurei.pdf
44,本郷中学校,hongou,私立,東京,http://www.hongo.ed.jp/,http://www.sapia.jp/school_exam/search/pdf2024/hongo.pdf
45,武蔵中学校,musashi,私立,東京,http://www.musashi.ed.jp/,http://www.sapia.jp/school_exam/search/pdf2024/musashi.pdf
46,明治大学付属中野中学校,meijidaigaku,私立,東京,,http://www.sapia.jp/school_exam/search/pdf2024/meiji_nakano.pdf
47,明星中学校,myoujou,私立,大阪,http://www.meisei.ed.jp/,http://www.sapia.jp/school_exam/search/pdf2024/meisei.pdf
48,横浜中学校,yokohama,私立,神奈川,http://www.yokohama-jsh.ac.jp/junior/index.html,http://www.sapia.jp/school_exam/search/pdf2024/yokohama.pdf
49,洛星中学校,raku,私立,京都,http://www.rakusei.ac.jp/,http://www.sapia.jp/school_exam/search/pdf2024/rakusei.pdf
50,ラ・サール中学校,ra・saaru,私立,鹿児島,http://www.lasalle.ed.jp/,http://www.sapia.jp/school_exam/search/pdf2024/lasalle.pdf
51,立教池袋中学校,rikkyou,私立,東京,http://ikebukuro.rikkyo.ac.jp/,http://www.sapia.jp/school_exam/search/pdf2024/rikkyoikebukuro.pdf
52,立教新座中学校,rikkyou,私立,埼玉,http://niiza.rikkyo.ac.jp/,http://www.sapia.jp/school_exam/search/pdf2024/rikkyoniiza.pdf
53,六甲学院中学校,rokkou,私立,兵庫,http://www.rokkogakuin.ed.jp/public_html/,http://www.sapia.jp/school_exam/search/pdf2024/rokko.pdf
54,早稲田中学校,waseda,私立,東京,http://www.waseda-h.ed.jp/,http://www.sapia.jp/school_exam/search/pdf2024/waseda.pdf
55,早稲田大学高等学院中学部,wasedadaigaku,私立,東京,https://www.waseda.jp/school/jhs/,http://www.sapia.jp/school_exam/search/pdf2024/wasedadaigaku.pdf
56,跡見学園中学校,atomigakuen,私立,東京,http://www.atomi.ac.jp/,http://www.sapia.jp/school_exam/search/pdf2024/atomi.pdf
57,浦和明の星女子中学校,urawa,私立,埼玉,http://www.urawa-akenohoshi.ed.jp/,http://www.sapia.jp/school_exam/search/pdf2024/urawaakenohoshi.pdf
58,江戸川女子中学校,edogawajoshi,私立,東京,http://www.edojo.jp/,http://www.sapia.jp/school_exam/search/pdf2024/edogawajoshi.pdf
59,桜蔭中学校,oin,私立,東京,http://www.oin.ed.jp/,http://www.sapia.jp/school_exam/search/pdf2024/oin.pdf
60,鷗友学園女子中学校,oyuugakuen,私立,東京,http://www.ohyu.jp/,http://www.sapia.jp/school_exam/search/pdf2024/ohyu.pdf
61,大阪女学院中学校,osaka,私立,大阪,http://www.osaka-jogakuin.ed.jp/,http://www.sapia.jp/school_exam/search/pdf2024/osakajogakuin.pdf
62,大谷中学校,otani,私立,大阪,http://www.osk-ohtani.ed.jp/,http://www.sapia.jp/school_exam/search/pdf2024/ohtani.pdf
63,大妻中学校,otsuma,私立,東京,http://www.otsuma.ed.jp/,http://www.sapia.jp/school_exam/search/pdf2024/otsuma.pdf
64,大妻多摩中学校,otsuma,私立,東京,http://www.otsuma-tama.ed.jp/,http://www.sapia.jp/school_exam/search/pdf2024/otsumatama.pdf
65,大妻中野中学校,otsuma,私立,東京,http://www.otsumanakano.ac.jp/,http://www.sapia.jp/school_exam/search/pdf2024/otsumanakano.pdf
66,大妻嵐山中学校,otsuma,私立,埼玉,http://www.otsuma-ranzan.ed.jp/,http://www.sapia.jp/school_exam/search/pdf2024/otsumaranzan.pdf
67,学習院女子中等科,gakushuuin,私立,東京,http://www.gakushuin.ac.jp/girl/,http://www.sapia.jp/school_exam/search/pdf2024/gakushuinjoshi.pdf
68,神奈川学園中学校,kanagawa,私立,神奈川,http://www.kanagawa-kgs.ac.jp/,http://www.sapia.jp/school_exam/search/pdf2024/kanagawagakuen.pdf
69,鎌倉女学院中学校,kamakura,私立,神奈川,http://www.kamajo.ac.jp/,http://www.sapia.jp/school_exam/search/pdf2024/kamakurajogakuin.pdf
70,カリタス女子中学校,karitasu,私立,神奈川,http://www.caritas.ed.jp/,http://www.sapia.jp/school_exam/search/pdf2024/caritas.pdf
71,北鎌倉女子学園中学校,kitakamakura,私立,神奈川,http://www.kitakama.ac.jp/,http://www.sapia.jp/school_exam/search/pdf2024/kitakamakura.pdf
72,吉祥女子中学校,kichijoujoshi,私立,東京,https://www.kichijo-joshi.jp/,http://www.sapia.jp/school_exam/search/pdf2024/kichijo.pdf
73,共立女子中学校,kyouritsujoshi,私立,東京,http://www.kyoritsu-wu.ac.jp/chukou/,http://www.sapia.jp/school_exam/search/pdf2024/kyoritsu.pdf
74,共立女子第二中学校,kyouritsujoshi,私立,東京,http://www.kyoritsu-wu.ac.jp/nichukou/,http://www.sapia.jp/school_exam/search/pdf2024/kyoritsu_dai2.pdf
75,恵泉女学園中学校,keisen,私立,東京,http://www.keisen.jp/,http://www.sapia.jp/school_exam/search/pdf2024/keisen.pdf
76,光塩女子学院中等科,koenjoshigakuin,私立,東京,http://www.koen-ejh.ed.jp/,http://www.sapia.jp/school_exam/search/pdf2024/koen.pdf
77,晃華学園中学校,kokagakuen,私立,東京,http://www.kokagakuen.ac.jp/,http://www.sapia.jp/school_exam/search/pdf2024/kokagakuen.pdf
78,麴町学園女子中学校,kojimachi,私立,東京,http://www.kojimachi.ed.jp/,http://www.sapia.jp/school_exam/search/pdf2024/kojimachi.pdf
79,甲南女子中学校,konan,私立,兵庫,http://www.konan-gs.ed.jp/,http://www.sapia.jp/school_exam/search/pdf2024/konanjoshi.pdf
80,国府台女子学院中学部,konodai,私立,千葉,http://www.konodai-gs.ac.jp/,http://www.sapia.jp/school_exam/search/pdf2024/konodai.pdf
81,神戸海星女子学院中学校,kobe,私立,兵庫,http://www.kobekaisei.ed.jp/,http://www.sapia.jp/school_exam/search/pdf2024/kobekaisei.pdf
82,神戸女学院中学部,kobejogakuin,私立,兵庫,http://www.kobejogakuin-h.ed.jp/,http://www.sapia.jp/school_exam/search/pdf2024/kobejogakuin.pdf
83,香蘭女学校中等科,koranjogakkou,私立,東京,http://www.koran.ed.jp,http://www.sapia.jp/school_exam/search/pdf2024/koran.pdf
84,実践女子学園中学校,jissenjoshigakuen,私立,東京,http://www.jissen.ac.jp/,http://www.sapia.jp/school_exam/search/pdf2024/jissenjoshi.pdf
85,四天王寺中学校,shitennou,私立,大阪,http://www.shitennoji.ac.jp/index.html,http://www.sapia.jp/school_exam/search/pdf2024/shitennoji.pdf
86,品川女子学院中等部,shinagawajoshigakuin,私立,東京,http://www.shinagawajoshigakuin.jp,http://www.sapia.jp/school_exam/search/pdf2024/shinagawajoshi.pdf
87,十文字中学校,juumonji,私立,東京,http://www.jumonji-u.ac.jp/high/,http://www.sapia.jp/school_exam/search/pdf2024/jumonji.pdf
88,淑徳与野中学校,shukutoku,私立,埼玉,http://www.shukutoku.yono.saitama.jp/,http://www.sapia.jp/school_exam/search/pdf2024/shukutokuyono.pdf
89,頌栄女子学院中学校,shoueijoshigakuin,私立,東京,http://www.shoei.ed.jp,http://www.sapia.jp/school_exam/search/pdf2024/shoei.pdf
90,湘南白百合学園中学校,shounan,私立,神奈川,http://www.shonan-shirayuri.ac.jp/,http://www.sapia.jp/school_exam/search/pdf2024/shonanshirayuri.pdf
91,昭和女子大学附属昭和中学校,shouwajoshidai,私立,東京,http://jhs.swu.ac.jp/,http://www.sapia.jp/school_exam/search/pdf2024/showajoshi_showa.pdf
92,女子学院中学校,joshigakuin,私立,東京,,http://www.sapia.jp/school_exam/search/pdf2024/joshigakuin.pdf
93,女子聖学院中学校,joshiseigakuin,私立,東京,http://www.joshiseigakuin.ed.jp/,http://www.sapia.jp/school_exam/search/pdf2024/joshiseigakuin.pdf
